市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計
千代田区神田岩本町,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
千代田区東神田１丁目,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,12
千代田区東神田２丁目,12,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,3,3,1,2,0,0,0,20
千代田区東神田３丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
千代田区神田和泉町,24,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,17,0,0,6,0,0,1,0,0,0,4,6,4,2,1,0,0,1,37
千代田区神田佐久間町１丁目,74,0,0,0,10,0,8,2,0,0,1,0,0,0,1,0,0,0,0,48,0,0,5,1,0,0,2,0,0,20,20,15,9,1,1,0,4,116
千代田区神田佐久間町２丁目,11,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9,0,0,1,1,0,0,0,0,0,1,6,0,0,0,0,0,0,17
千代田区神田佐久間町３丁目,12,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,9,0,0,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,20
千代田区神田佐久間町４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
千代田区神田平河町,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,1,17
